Endurance_meters,Sprint10m_seconds,Flying20m_seconds,Agility_seconds,CMJ_cm,Squat_BW_multiple,StrengthBW_multiple,BodyFat_percent,PlayerPosition,TrainingStatus,FitnessOutput
1382.1,2.084,3.066,10.648,,1.2,0.89,5.6,GK,Completed,Unfit
1396.8,2.006,2.822,9.496,40.3,1.55,1.12,6.2,FW,Not Completed,Unfit
1386.8,1.712,2.886,10.285,61.7,1.48,1.21,11.8,GK,Completed,Fit
1280.3,1.88,2.685,9.369,57,1.71,1.69,8.4,GK,Not Completed,Fit
1319.7,1.99,,8.305,52.1,0.98,2.06,12.9,GK,Completed,Unfit
1411,2.053,3.453,93.28,44.7,1.75,1.28,14.2,MF,Completed,Unfit
,1.673,3.05,10.246,58.6,1.77,1.6,10.8,GK,Not Completed,Fit
1184.3,1.725,2.852,8.988,55.9,1.52,1.31,16.8,GK,Completed,Unfit
946.5,1.778,3.717,9.524,50.9,2.44,1.02,5.3,FW,Completed,Unfit
1563.3,1.82,2.5,8.632,72.6,1.36,1.65,6.4,GK,Completed,Fit
1310.5,1.961,2.676,9.434,39.9,1.31,1.34,11.3,MF,Not Completed,Unfit
1568,1.703,2.782,9.25,72.6,1.59,1.28,11.9,GK,Completed,Fit
1384.4,1.834,2.717,8.743,57.7,1.77,1.53,13.1,FW,Completed,Fit
1081.1,1.611,2.7,9.321,46.5,1.67,1.37,10.6,GK,Completed,Unfit
1474.1,1.617,2.289,9.229,82.1,1.75,1.11,7.3,DF,Partial,Unfit
1265.3,1.939,3.081,8.761,56.4,1.38,1.36,7.5,GK,Completed,Fit
1057.8,1.735,2.994,10.119,66.9,1.78,0.91,6.7,GK,Completed,Unfit
1470.3,1.918,2.867,7.933,58.5,1.92,1.46,11.8,FW,Partial,Fit
1600.1,2.067,2.888,9.675,44.5,1.52,1.62,9.5,FW,Partial,Unfit
1191.9,1.584,2.857,9.985,46.9,2.16,1.64,10.4,MF,Completed,Unfit
1460.4,1.898,2.931,9.584,56.6,1.41,1.4,7.5,MF,Completed,Fit
1682.2,2.116,3.088,9.025,56,1.89,1.55,6.7,FW,Not Completed,Unfit
1241.7,1.768,3.39,10.067,70.3,1.78,1.11,10.6,DF,Partial,Unfit
1240.8,2.107,2.584,8.89,43.6,1.84,1.73,10.1,DF,Not Completed,Unfit
1339.6,2.166,3.227,9.512,56.5,1.22,1.02,10.7,GK,Completed,Unfit
1747.6,1.934,3.05,10.097,68.2,2.23,1.53,10.1,DF,Partial,Fit
1064.6,1.842,2.675,10.017,78.7,1.58,1.28,10,DF,Partial,Fit
1267.6,1.796,2.806,9.519,49.2,2.08,1.37,9.6,MF,Partial,Unfit
1124.2,1.762,3.034,10.702,48.1,1.72,1.27,7.1,GK,Completed,Unfit
1385.9,1.715,2.613,9.439,50.4,1.49,1.95,7.7,GK,Partial,Fit
,2.053,,8.504,47.4,2.05,1.33,8.7,MF,Partial,Unfit
1399.8,2.088,2.812,9.872,50.2,1.95,1.15,5.5,GK,Completed,Unfit
1008.8,1.937,2.864,9.661,58.8,1.75,1.58,13,DF,Partial,Fit
1367.5,1.751,2.841,9.192,32.5,1.74,1.61,5.6,GK,Completed,Unfit
1256.9,1.835,2.738,9.203,51.1,2.45,1.4,8.7,MF,Completed,Fit
1224.1,1.691,2.609,8.952,52.1,2.46,1.3,13,DF,Partial,Fit
1174.4,1.94,2.568,9.875,63.2,1.86,1.21,8.7,DF,Completed,Fit
1221.8,1.564,2.739,9.519,59.9,1.89,1.3,11.5,FW,Partial,Fit
741.6,1.834,3.078,11.061,52,1.57,1.38,10.9,DF,Partial,Unfit
1541.5,1.645,2.905,8.589,64,1.33,1.27,10.6,MF,Partial,Fit
1426.6,2.037,2.61,9.623,29.6,1.36,0.79,8.7,MF,Partial,Unfit
1177.7,1.753,2.966,9.872,61.1,1.34,1,4.1,FW,Completed,Unfit
1230.5,1.722,2.939,8.804,50.3,1.92,1.31,8.4,GK,Completed,Fit
1210.2,2.039,2.5,8.812,53.2,1.47,1.2,12.2,GK,Completed,Unfit
1492.4,1.808,2.822,8.397,63.2,1.59,1.29,15.9,DF,Completed,Unfit
1422.1,2.279,3.041,9.406,55.7,1.51,0.95,11.5,MF,Partial,Unfit
1448.3,1.704,2.561,9.236,60.9,1.8,2.05,13.5,FW,Partial,Fit
1317.9,1.985,2.875,9.471,,2,1.3,9.4,DF,Not Completed,Fit
1210.6,1.942,2.989,10.105,51.4,1.37,1.09,9.2,FW,Partial,Unfit
1293.4,1.963,2.478,9.104,39,1.96,1.41,7.5,DF,Not Completed,Unfit
1658.3,1.807,2.85,10.477,58.1,1.82,1.49,12.5,FW,Completed,Fit
1334.5,2.124,2.809,9.314,57,1.19,1.24,7.6,MF,Completed,Unfit
1338.8,1.829,2.768,,57.6,1.73,1.2,10.9,GK,Partial,Fit
1200.8,1.902,2.723,10.19,56.9,1.48,1.22,13.1,GK,Partial,Fit
1110.4,2.167,2.729,8.669,56.5,1.87,1.46,4.2,MF,Completed,Unfit
1052.5,1.818,3.23,9.508,69.3,1.49,1.52,14.8,MF,Partial,Unfit
1449.1,1.623,3.108,9.558,52.6,1.91,1.55,8.1,GK,Completed,Unfit
1150.7,1.831,3.037,10.167,47.3,1.55,1.55,10.7,GK,Not Completed,Unfit
1372.6,1.922,2.89,9.197,52.3,1.75,1.92,10.8,DF,Not Completed,Fit
1748.4,1.903,3.166,9.313,62.3,1.26,1.1,7.4,FW,Not Completed,Unfit
889.6,2.001,2.55,9.555,73.9,1.79,1.01,11.1,GK,Completed,Unfit
1195.3,1.795,2.848,9.282,40.6,2.01,1.7,11.1,FW,Completed,Unfit
1262,1.951,2.295,9.364,56,1.64,1.61,4,FW,Not Completed,Fit
2001.8,1.835,3.086,8.109,41.6,1.64,2.03,7.5,MF,Completed,Unfit
1345.2,1.84,3.284,8.751,75,18.5,1.64,16.3,DF,Not Completed,Unfit
1270.7,1.816,2.535,9.883,,1.27,0.85,9.8,GK,Completed,Unfit
1145,1.687,2.923,9.339,42.1,1.6,1.3,12.7,MF,Completed,Unfit
1716.1,1.785,2.727,,56.1,1.54,1.41,13.8,GK,Partial,Fit
1100,1.873,2.735,8.924,69.2,1.41,1.33,13.5,GK,Not Completed,Fit
853.5,1.86,3.116,9.775,45.4,0.8,1.31,10.5,DF,Completed,Unfit
1512.3,1.796,3.023,8.818,56.1,1.82,1.44,7.2,GK,Partial,Fit
1186.4,1.805,2.912,10.207,35.9,1.5,1.49,6,MF,Completed,Unfit
1420.8,1.827,2.686,9.197,56.7,1.98,1.02,6.6,FW,Completed,Unfit
1880,2.034,2.925,9.025,50.8,1.78,1.51,10,DF,Partial,Unfit
1349,1.602,2.622,10.309,58.2,1.73,1.36,14,MF,Partial,Fit
1377.1,1.677,3.246,9.395,65,1.55,1.28,16.5,DF,Completed,Unfit
1765.2,1.822,2.846,9.018,54.7,2.28,1.53,12.2,MF,Partial,Fit
871,1.862,2.431,10.625,57.5,1.75,1.75,8.9,FW,Completed,Unfit
1358.7,,3.023,9.847,40.8,1.57,1.14,8.1,FW,Completed,Unfit
1523.4,1.928,2.711,8.906,42.4,1.89,1.61,9.1,GK,Partial,Unfit
1759.2,1.702,2.859,10.487,70.4,1.77,1.37,8.1,DF,Not Completed,Fit
697.8,2.082,2.822,9.837,51.9,1.41,1.42,9.2,DF,Not Completed,Unfit
,1.903,2.51,9.183,74.3,1.53,1.73,10.2,GK,Not Completed,Fit
1320.9,1.94,2.81,9.719,68.9,1.71,1.52,7.9,MF,Completed,Fit
1181,1.686,2.472,11.097,41.6,1.88,1.46,8.4,FW,Partial,Unfit
1537.8,1.684,2.932,8.698,55.8,1.94,1.41,10.9,GK,Partial,Fit
1187.3,1.507,2.952,8.933,55.3,1.82,1.1,9.6,DF,Completed,Unfit
1377.6,2.129,2.698,10.745,46.6,1.59,1.04,5.4,GK,Partial,Unfit
,1.741,2.767,9.266,36.4,2.21,1.51,8.7,MF,Partial,Unfit
1407.3,1.863,3.021,9.698,45.5,1.48,1.41,10.4,DF,Partial,Unfit
1331.7,1.923,3.12,8.946,54.6,1.1,1.38,6.9,GK,Partial,Unfit
1368,1.933,2.742,10.208,64,2.17,1.7,9.7,MF,Not Completed,Fit
989.3,1.611,,9.918,54.4,1.63,1.51,14.5,DF,Not Completed,Unfit
1430.5,1.814,2.802,9.723,72,2.08,1.52,10.6,FW,Completed,Fit
1408.2,1.758,2.453,9.252,55.9,1.86,1.54,5.6,GK,Completed,Fit
1617.9,,2.97,9.149,50.9,1.63,1.18,11.5,MF,Completed,Unfit
1177.9,1.967,2.928,9.736,53.7,1.66,1.38,10.1,GK,Completed,Fit
764.1,1.963,2.685,9.398,64.7,1.67,1.24,8.3,DF,Completed,Unfit
1626.7,2.106,2.748,9.484,55.1,1.96,1.76,13.2,GK,Partial,Unfit
1238.6,1.799,2.946,9.323,64.4,1.53,1.2,14.2,MF,Not Completed,Fit
1618.4,1.759,2.793,8.952,53.6,1.3,1.73,7.6,GK,Completed,Unfit
1128.4,1.896,2.612,8.711,45.8,1.62,1.34,6.9,MF,Completed,Unfit
954.1,1.948,2.222,10.238,41.1,1.48,1.48,4,GK,Partial,Unfit
883.9,1.985,2.966,9.257,59,1.67,1.24,11.3,MF,Partial,Unfit
1438.1,1.994,3.003,9.94,48.8,1.68,1.75,13.5,MF,Partial,Unfit
,1.947,3.069,9.381,64,1.84,1.91,4,DF,Completed,Unfit
1137.7,2.011,2.868,8.306,53,1.82,1.72,9.7,MF,Completed,Unfit
1451,1.743,3.302,10.511,54.3,1.6,1.52,12.8,GK,Partial,Unfit
1256.3,1.767,3.346,9.736,47,1.54,1.41,7.8,MF,Completed,Unfit
927.3,1.965,2.432,10.524,50.1,2.08,1.76,14.3,MF,Partial,Unfit
1057.3,1.923,2.837,9.902,74,1.49,1.13,12.2,DF,Partial,Unfit
1341.1,1.752,2.848,10.169,45.3,1.58,1.24,7.1,DF,Completed,Unfit
1182.6,1.809,2.721,8.397,60,1.82,1.32,4.5,MF,Completed,Fit
1714.7,1.683,2.897,9.822,33.8,1.3,1.53,6.9,GK,Completed,Unfit
1318.2,1.648,2.407,9.461,43.9,1.9,1.53,8,MF,Not Completed,Unfit
1344.5,1.879,,9.926,51.6,1.88,1.69,7.1,FW,Not Completed,Fit
1254.8,1.92,3.262,10.233,35.5,1.33,1.65,11.2,DF,Completed,Unfit
1565.6,1.715,2.823,9.27,73.7,1.7,1.32,6.6,MF,Completed,Fit
1177.4,1.498,2.711,9.134,59.9,1.79,1.44,7.4,FW,Completed,Fit
1039.7,1.912,3.209,8.525,59,1.58,1.41,10.2,GK,Partial,Unfit
1206.9,1.731,2.747,8.577,62.6,2.13,1.13,11.4,DF,Not Completed,Unfit
1417.5,2.006,3.292,9.782,54.2,1.64,1.51,9.9,GK,Not Completed,Unfit
1173,1.961,3.093,8.968,42.8,1.34,1.43,8.4,DF,Completed,Unfit
1303.7,1.941,3.178,10.359,41.3,1.67,1.23,15.2,FW,Partial,Unfit
1471.6,1.9,2.863,9.657,49.2,2.21,1.64,7.2,FW,Not Completed,Unfit
1768.7,1.911,2.829,8.83,46.5,1.22,1.41,9.5,FW,Completed,Unfit
1163.6,1.803,2.565,10.058,48.4,1.93,1.44,7.2,GK,Partial,Unfit
1611.6,1.789,2.779,10.189,56.3,1.63,1.2,8.7,GK,Partial,Unfit
947.5,1.731,2.645,7.971,59.3,1.78,1.6,10.1,GK,Completed,Unfit
1521.2,2.15,2.92,9.643,62.3,0.95,1.19,4.1,MF,Completed,Unfit
1376.8,1.732,2.82,9.432,37,1.67,1.94,5.2,FW,Partial,Unfit
1084.7,1.857,2.784,9.525,53.5,1.81,1.63,16.4,MF,Not Completed,Unfit
1691.7,1.644,2.862,9.843,62.3,1.52,1.25,14.3,MF,Not Completed,Fit
1100.7,1.666,2.557,9.682,46.7,1.98,1.53,8.9,MF,Partial,Unfit
1566.2,1.733,3.059,10.111,43.9,1.75,1.47,12.9,FW,Not Completed,Unfit
1700.2,1.76,2.604,8.302,38.7,1.44,1.64,10.8,FW,Partial,Unfit
1814.8,1.78,3.224,10.06,64.1,1.53,1.02,16,MF,Partial,Unfit
1571.3,1.889,2.897,9.961,43.1,1.48,1.64,6.3,FW,Partial,Unfit
1176.5,1.419,2.998,10.6,43.6,1.69,1.18,8.7,GK,Completed,Unfit
1380.2,1.91,3.073,10.129,55.4,2.03,1.68,4,GK,Partial,Fit
1721.5,1.694,2.527,8.646,51.2,1.59,1.92,15.9,DF,Completed,Unfit
1269.9,2.126,2.784,9.176,39.2,1.43,0.96,7.1,DF,Completed,Unfit
1566.4,1.719,3.049,9.746,51,1.81,1.86,10,DF,Partial,Fit
1559,1.959,,9.474,53.9,1.32,1.41,11.8,FW,Not Completed,Fit
1489.8,1.695,3.133,10.123,41.2,0.97,1.59,11,DF,Not Completed,Unfit
946.9,1.935,2.856,9.158,67.2,1.65,1.28,13.2,DF,Partial,Unfit
1467,1.932,2.834,8.459,45,1.54,1.55,5.4,MF,Partial,Unfit
1495.5,1.98,3.226,9.393,59.5,1.21,0.98,14,DF,Partial,Unfit
1382.1,1.962,3.352,10.33,54.5,1.89,1.27,5.9,MF,Completed,Unfit
952.6,1.636,3.071,9.87,51.7,1.72,1.45,9.6,GK,Partial,Unfit
1475.5,1.887,2.9,9.219,41.7,1.85,1.63,4.2,DF,Completed,Unfit
1212.1,1.891,2.963,10.725,58.6,1.31,1.12,6.9,GK,Not Completed,Unfit
1059.2,1.787,3.023,9.655,62.6,1.52,1.08,8.7,DF,Not Completed,Unfit
1449,1.738,2.836,9.354,52.6,1.59,1.16,13.3,DF,Completed,Unfit
1281.8,2.062,3.196,10.186,33.8,1.4,1.43,16.8,MF,Partial,Unfit
1183.8,1.982,3.494,9.293,62.5,1.67,1.57,5.1,DF,Partial,Unfit
1155.8,2.053,3.281,9.735,44.7,1.21,1.08,9.6,DF,Not Completed,Unfit
1045.1,2.045,2.712,9.087,54.2,1.31,1.24,13.3,MF,Completed,Unfit
1325.8,1.907,2.651,9.867,47.6,1.04,1.54,8,DF,Completed,Unfit
1299.4,1.867,2.733,9.178,50.3,1.54,1.64,9.4,GK,Not Completed,Fit
1225.1,1.584,2.53,9.161,56.2,2.04,1.59,10.6,FW,Partial,Fit
1206.6,1.799,2.845,9.073,50.6,1.72,1.04,14.2,FW,Completed,Unfit
981.1,1.811,2.987,10.354,58.9,1.62,1.46,10.7,FW,Not Completed,Unfit
1029.1,,3.063,9.978,60,2.09,1.37,14.5,GK,Not Completed,Fit
1367.1,2.09,3.046,9.404,68,1.65,1.31,14,GK,Partial,Unfit
1113.8,1.883,2.629,9.489,60.8,1.45,1.54,9.8,GK,Completed,Fit
1292.3,1.874,2.837,9.376,61.7,1.77,2.03,11.3,DF,Partial,Fit
1580.8,1.823,3.314,9.652,50.7,1.74,1.95,7.5,MF,Not Completed,Unfit
1630.6,1.849,3.473,9.018,59.9,1.3,1.34,4,FW,Not Completed,Unfit
1039.7,1.696,3.163,10.633,59.4,1.71,1.97,11.8,FW,Completed,Unfit
1355.3,2.243,2.964,10.044,64.1,1.56,1.54,7,MF,Partial,Unfit
1097.3,1.652,2.972,9.074,40.9,1.4,1.54,8.5,MF,Partial,Unfit
1542.3,1.928,2.509,10.266,43.2,1.27,1.12,5,FW,Completed,Unfit
1278.8,2.102,3.136,8.927,63.1,1.34,1.14,4.6,FW,Not Completed,Unfit
1417.9,1.94,2.571,10.65,54,1.53,1.49,4,MF,Partial,Unfit
1362.5,1.914,2.907,8.928,41.5,1.63,1.7,8.4,DF,Partial,Unfit
1071.7,1.864,2.386,11.722,66.7,2.09,0.95,11.8,GK,Not Completed,Unfit
1436,1.804,3.247,9.968,59.3,1.8,1.36,10.8,DF,Completed,Unfit
1160.3,1.804,2.481,10.305,51.1,1.69,1.49,5.2,FW,Completed,Fit
692.9,1.638,3.042,9.947,61.1,1.39,1.37,7.6,DF,Partial,Unfit
1598.4,2.098,3.3,9.473,51.2,2.02,1.8,11.2,GK,Partial,Unfit
1690.6,1.904,2.688,8.376,32.2,1.75,1.53,15.6,DF,Completed,Unfit
1067.6,1.564,3.023,10.831,59.1,1.28,1.16,10.6,MF,Not Completed,Unfit
1684.7,1.68,,8.936,54.7,1.65,1.41,16.4,GK,Completed,Unfit
1079,1.632,3.089,9.283,50.8,1.79,1.77,12.4,GK,Completed,Fit
1273.6,16.72,2.789,10.317,,1.5,1.66,6.8,FW,Not Completed,Fit
,1.876,2.736,9.797,53.6,1.65,1.59,9.4,FW,Not Completed,Fit
1004.7,1.835,2.733,9.163,568,1.76,1.34,9.2,FW,Completed,Fit
1363.4,1.837,3.165,9.456,61.8,1.55,1.58,14.1,MF,Completed,Unfit
1066.1,1.866,2.879,9.346,55.1,1.68,1.74,6.8,FW,Completed,Fit
1327.9,2.037,2.721,10.204,59.4,1.53,1.8,10.9,FW,Completed,Unfit
1122.6,1.864,3.008,9.64,50.2,1.48,1.86,13.6,DF,Completed,Fit
943,1.892,2.673,9.385,66,1.86,1.62,14.1,FW,Partial,Unfit
916.9,1.983,2.288,9.559,39.8,2.13,1.53,15.3,FW,Completed,Unfit
1278.7,2.05,2.996,10.014,45.7,2.17,1.4,6.7,DF,Partial,Unfit
1104.2,1.931,3.147,8.718,,1.79,1.66,10.3,DF,Partial,Unfit
1253.3,1.4,3.06,8.789,65.4,1.46,1.25,11.1,MF,Partial,Fit
1253.6,1.991,2.727,9.535,36.1,1.99,1.03,10.7,FW,Completed,Unfit
1123.6,1.596,2.886,10.522,48.1,1.77,1.33,13.1,FW,Partial,Unfit
1323.5,1.928,3.193,9.005,58.5,1.96,1.5,6.7,DF,Not Completed,Unfit
1392.7,2.158,2.78,10.869,39.5,1.42,1.79,11.3,FW,Partial,Unfit
1442.1,1.69,2.795,9.817,40.6,1.96,1.47,9.4,MF,Partial,Unfit
1709.6,1.924,3.327,9.629,47.7,2.02,1.42,20.6,GK,Completed,Unfit
1390,1.757,2.69,9.777,41.2,1.45,1.66,12.7,GK,Completed,Unfit
1011.3,2.113,2.582,9.129,48.5,1.61,1.24,9.4,DF,Completed,Unfit
1069.9,1.814,2.764,9.356,56,1.92,1.39,10.9,MF,Partial,Fit
1122.8,1.725,3.051,10.341,48.9,2.17,1.79,13.4,GK,Completed,Unfit
1238.6,1.743,3.016,9.554,46.7,2.06,1.63,7.7,DF,Completed,Unfit
1382.3,2.033,2.86,9.34,51.7,1.28,1.55,5.3,FW,Not Completed,Unfit
1193.8,1.707,2.939,10.945,60,1.95,1.71,7.8,GK,Partial,Unfit
1231.8,1.826,2.568,8.63,74.7,1.66,1.47,6,DF,Partial,Fit
1460.5,1.819,3.058,10.194,55.6,1.86,1.54,7.7,GK,Completed,Fit
1052.3,1.893,2.766,9.332,50.1,2.02,1.3,11.3,FW,Completed,Fit
1797.3,1.568,2.862,9.966,53,1.34,1.61,6.3,DF,Completed,Fit
1577.8,1.582,3.099,9.534,43,1.79,1.25,13.4,FW,Not Completed,Unfit
1635.7,1.896,3.209,8.987,54.5,2.33,1.58,13.6,GK,Completed,Unfit
1199,,3.287,9.787,62.6,1.63,1.5,8.8,FW,Completed,Unfit
1490.8,1.737,2.705,9.151,49.5,1.69,0.94,10.5,GK,Completed,Unfit
1378.4,2.126,2.839,10.274,57.3,1.9,1.22,9,MF,Not Completed,Unfit
1851.7,2.198,3.251,9.535,65.4,1.59,1.39,8.2,GK,Partial,Unfit
879.9,1.893,2.863,9.628,62.3,1.65,1.31,7.6,GK,Partial,Unfit
1469.9,1.997,3.085,9.26,41,2.18,1.24,9.1,FW,Completed,Unfit
1705.5,1.837,2.963,10.945,51.4,1.66,1.62,6.7,DF,Partial,Unfit
1355,1.783,2.702,8.194,48.3,1.38,1.42,9.9,GK,Completed,Unfit
1574.6,1.757,3.016,9.241,52.8,1.31,1.42,6.3,GK,Completed,Fit
1115.8,1.811,2.968,9.852,74.1,12.8,1.12,11,GK,Completed,Unfit
1180.3,1.658,3.073,8.192,67.4,0.99,1.15,7.7,GK,Completed,Unfit
1312.1,1.771,2.778,8.563,74.3,1.77,1.46,10.3,FW,Completed,Fit
1532.2,1.752,2.741,10.355,51.7,1.7,1.65,8,MF,Completed,Fit
1434.4,1.821,3.029,9.743,68.9,2.04,0.86,11.6,DF,Completed,Unfit
1336.9,1.699,2.619,10.141,50.3,1.48,1.2,11.4,FW,Partial,Unfit
1145.2,1.641,2.41,8.626,62.9,1.81,1.47,9.6,GK,Partial,Fit
1114.7,1.861,3.144,9.357,57.1,1.53,1.55,7.6,GK,Completed,Unfit
1394.9,1.928,3.097,9.797,36.7,1.49,1.6,10.2,FW,Not Completed,Unfit
1521.8,1.794,3.259,10.475,45.8,2.07,1.69,8,MF,Not Completed,Unfit
907.8,,3.188,9.075,64.6,1.32,1.19,10.8,DF,Not Completed,Unfit
1630.1,1.833,3.19,8.66,59.4,1.58,1.61,8.2,FW,Not Completed,Unfit
1101,1.873,3.22,9.725,56.6,1.3,1.55,11.5,MF,Completed,Unfit
1662.3,1.865,3.268,9.519,32.4,1.94,1.13,7.9,DF,Not Completed,Unfit
1336.8,,3.042,8.769,57.1,1.74,2.09,11.4,DF,Partial,Fit
1443,1.847,3.029,9.432,50.4,1.52,1.6,13.2,FW,Completed,Fit
1879.4,2.015,3.402,9.01,62.5,1.64,1.51,8.6,DF,Completed,Unfit
1329.3,2.008,2.646,9.822,57.8,1.7,1.22,11.9,DF,Partial,Unfit
1498.5,1.583,3.317,9.034,66.1,1.68,1.68,13.8,GK,Partial,Unfit
1614.5,,2.702,9.614,58.4,1.87,1.15,15.8,FW,Completed,Unfit
912.7,1.969,3.069,9.027,,2.16,1.59,14.7,MF,Partial,Unfit
1826.8,1.557,2.722,9.054,36.8,1.56,1.45,12.4,DF,Not Completed,Unfit
1137.2,1.79,2.723,10.313,47.3,1.32,1.78,6.8,FW,Partial,Unfit
954.7,1.766,3.075,9.612,56.1,1.17,1.18,9.9,MF,Partial,Unfit
1004.4,1.817,2.559,9.516,67.3,1.86,1.54,10.9,DF,Not Completed,Fit
1019.5,1.732,2.906,9.396,61.9,2.12,1.52,8.6,FW,Partial,Fit
1458.5,2.058,2.574,8.066,47.7,1.83,1.19,5.2,DF,Partial,Unfit
1018.2,1.925,2.977,8.735,57.4,1.42,1.44,13.8,DF,Not Completed,Fit
1669.9,2.12,2.995,,41.9,1.48,1.68,15.3,GK,Completed,Unfit
1252,2.196,2.927,9.602,67.2,1.9,0.82,9.8,DF,Completed,Unfit
759.8,,2.826,8.741,55.3,2.18,1.33,9.4,DF,Partial,Unfit
1404.3,1.764,3.053,9.218,52.1,1.79,1.48,7.1,FW,Completed,Fit
1542.2,2.005,3.02,8.924,65.8,1.87,1.14,12,MF,Partial,Unfit
1326,1.7,2.948,10.185,61.9,1.44,1.27,9.2,FW,Completed,Fit
1187.5,1.898,3.018,9.61,72.3,2.05,1.4,14.3,DF,Completed,Fit
1577.6,1.881,2.91,8.68,49.2,1.36,1.6,8.6,DF,Completed,Unfit
1448.7,1.71,3.709,10.106,78.6,1.83,1.2,9.1,MF,Completed,Unfit
1562.4,1.846,2.678,11.603,51.9,1.98,1.27,8.6,MF,Partial,Unfit
1193.6,1.699,2.719,9.462,53.8,1.22,1.13,12.6,DF,Completed,Unfit
1483.4,1.606,3.282,10.081,28.7,1.19,1.8,10,FW,Partial,Unfit
1481.6,2.019,2.691,9.321,46.1,1.18,1.1,11.2,MF,Completed,Unfit
1445.9,2.054,3.131,9.971,36.5,1.27,1.34,14.5,MF,Partial,Unfit
